,Store,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Week_of_Year,Log_Weekly_Sales
0,1,0,42.31,2.572,211.0963582,8.106,2010,5,14.312455428275923
1,1,1,38.51,2.548,211.2421698,8.106,2010,6,14.31140025807736
2,1,0,39.93,2.514,211.2891429,8.106,2010,7,14.292967076555646
3,1,0,46.63,2.561,211.3196429,8.106,2010,8,14.158907754464193
4,1,0,46.5,2.625,211.3501429,8.106,2010,9,14.256862417490069
5,1,0,57.79,2.667,211.3806429,8.106,2010,10,14.179835975258726
6,1,0,54.58,2.72,211.215635,8.106,2010,11,14.202483596819782
7,1,0,51.45,2.732,211.0180424,8.106,2010,12,14.155142739553565
8,1,0,62.27,2.719,210.8204499,7.808,2010,13,14.282365033827514
9,1,0,65.86,2.77,210.6228574,7.808,2010,14,14.25080597190662
10,1,0,66.32,2.808,210.4887,7.808,2010,15,14.198088597173271
11,1,0,64.84,2.795,210.4391228,7.808,2010,16,14.145718299258707
12,1,0,67.41,2.78,210.3895456,7.808,2010,17,14.16975374457638
13,1,0,72.55,2.835,210.3399684,7.808,2010,18,14.28798371042592
14,1,0,74.78,2.854,210.3374261,7.808,2010,19,14.217136639765242
15,1,0,76.44,2.826,210.6170934,7.808,2010,20,14.151742101335476
16,1,0,80.44,2.759,210.8967606,7.808,2010,21,14.174632171364747
17,1,0,80.69,2.705,211.1764278,7.808,2010,22,14.295170978697584
18,1,0,80.43,2.668,211.4560951,7.808,2010,23,14.248955286787861
19,1,0,84.11,2.637,211.4537719,7.808,2010,24,14.223163311430442
20,1,0,84.34,2.653,211.3386526,7.808,2010,25,14.168075888999844
21,1,0,80.91,2.669,211.2235333,7.787,2010,26,14.215908945226799
22,1,0,80.48,2.642,211.108414,7.787,2010,27,14.251230135666441
23,1,0,83.15,2.623,211.1003854,7.787,2010,28,14.186342757365217
24,1,0,83.36,2.608,211.2351443,7.787,2010,29,14.141258494295231
25,1,0,81.84,2.64,211.3699032,7.787,2010,30,14.13177104932625
26,1,0,87.16,2.627,211.5046621,7.787,2010,31,14.288941295460173
27,1,0,87.0,2.692,211.6394211,7.787,2010,32,14.226453143929806
28,1,0,86.65,2.664,211.6033633,7.787,2010,33,14.229658851201133
29,1,0,85.22,2.619,211.5673056,7.787,2010,34,14.186483540042047
30,1,0,81.21,2.577,211.5312479,7.787,2010,35,14.247399806345413
31,1,1,78.69,2.565,211.4951902,7.787,2010,36,14.22593779432524
32,1,0,82.11,2.582,211.5224596,7.787,2010,37,14.173450470492778
33,1,0,80.94,2.624,211.5972246,7.787,2010,38,14.11694169978843
34,1,0,71.89,2.603,211.6719895,7.838,2010,39,14.189368377113922
35,1,0,63.93,2.633,211.7467544,7.838,2010,40,14.226454582693016
36,1,0,67.18,2.72,211.8137436,7.838,2010,41,14.193542870942032
37,1,0,69.86,2.725,211.8612937,7.838,2010,42,14.112242803773754
38,1,0,69.64,2.716,211.9088438,7.838,2010,43,14.140640296688753
39,1,0,58.74,2.689,211.9563939,7.838,2010,44,14.254836064012428
40,1,0,59.61,2.728,212.003944,7.838,2010,45,14.21728920608763
41,1,0,51.41,2.771,211.8896737,7.838,2010,46,14.210106934818699
42,1,1,64.52,2.735,211.7484333,7.838,2010,47,14.486220449653285
43,1,0,49.27,2.708,211.607193,7.838,2010,48,14.252496800579673
44,1,0,46.33,2.843,211.4659526,7.838,2010,49,14.33585984335524
45,1,0,49.84,2.869,211.4053124,7.838,2010,50,14.452635347988908
46,1,0,52.33,2.886,211.4051222,7.838,2010,51,14.685946317774935
47,1,1,48.43,2.943,211.4049321,7.838,2010,52,14.128363916228995
48,1,0,48.27,2.976,211.4047419,7.742,2011,1,14.183435281176564
49,1,0,35.4,2.983,211.4574109,7.742,2011,2,14.145544225700371
50,1,0,44.04,3.016,211.8272343,7.742,2011,3,14.09873753620479
51,1,0,43.83,3.01,212.1970577,7.742,2011,4,14.090791283099605
52,1,0,42.27,2.989,212.5668812,7.742,2011,5,14.289649736525519
53,1,1,36.39,3.022,212.9367046,7.742,2011,6,14.316053049084722
54,1,0,57.36,3.045,213.2478853,7.742,2011,7,14.338369754987733
55,1,0,62.9,3.065,213.535609,7.742,2011,8,14.19175368603326
56,1,0,59.58,3.288,213.8233327,7.742,2011,9,14.307926402890157
57,1,0,53.56,3.459,214.1110564,7.742,2011,10,14.255823131785899
58,1,0,62.76,3.488,214.3627114,7.742,2011,11,14.270920122520295
59,1,0,69.97,3.473,214.5999389,7.742,2011,12,14.248009198359659
60,1,0,59.17,3.524,214.8371664,7.682,2011,13,14.217680743772945
61,1,0,67.84,3.622,215.0743939,7.682,2011,14,14.294387422114434
62,1,0,71.27,3.743,215.2918561,7.682,2011,15,14.260125863919061
63,1,0,72.99,3.807,215.4599053,7.682,2011,16,14.263281876998393
64,1,0,72.03,3.81,215.6279544,7.682,2011,17,14.19057947378436
65,1,0,64.61,3.906,215.7960035,7.682,2011,18,14.303717668907108
66,1,0,75.64,3.899,215.9640526,7.682,2011,19,14.288495102364475
67,1,0,67.63,3.907,215.7339202,7.682,2011,20,14.171938960514176
68,1,0,77.72,3.786,215.5037878,7.682,2011,21,14.198080677953271
69,1,0,83.0,3.699,215.2736553,7.682,2011,22,14.307201929941403
70,1,0,83.13,3.648,215.0435229,7.682,2011,23,14.278583550737093
71,1,0,86.41,3.637,214.9980596,7.682,2011,24,14.242160253054978
72,1,0,83.58,3.594,215.0910982,7.682,2011,25,14.179341640555348
73,1,0,85.55,3.524,215.1841368,7.962,2011,26,14.213305720430062
74,1,0,85.83,3.48,215.2771754,7.962,2011,27,14.2439436313376
75,1,0,88.54,3.575,215.3611087,7.962,2011,28,14.190599596025189
76,1,0,85.77,3.651,215.4222784,7.962,2011,29,14.14978596904457
77,1,0,86.83,3.682,215.4834482,7.962,2011,30,14.117258828465056
78,1,0,91.65,3.684,215.544618,7.962,2011,31,14.300639686668458
79,1,0,90.76,3.638,215.6057878,7.962,2011,32,14.237602071505675
80,1,0,89.94,3.554,215.6693107,7.962,2011,33,14.241276489509747
81,1,0,87.96,3.523,215.7332258,7.962,2011,34,14.197157218954738
82,1,0,87.83,3.533,215.7971409,7.962,2011,35,14.253914006898343
83,1,1,76.0,3.546,215.861056,7.962,2011,36,14.247599576733158
84,1,0,79.94,3.526,216.0410526,7.962,2011,37,14.23043794385368
85,1,0,75.8,3.467,216.3758246,7.962,2011,38,14.137609470058086
86,1,0,79.69,3.355,216.7105965,7.962,2011,39,14.148091540610183
87,1,0,69.31,3.285,217.0453684,7.866,2011,40,14.304698332844653
88,1,0,71.74,3.274,217.3552733,7.866,2011,41,14.216650947945439
89,1,0,63.71,3.353,217.5159762,7.866,2011,42,14.222683393741804
90,1,0,66.57,3.372,217.6766791,7.866,2011,43,14.183792937217683
91,1,0,54.98,3.332,217.837382,7.866,2011,44,14.344508410059841
92,1,0,59.11,3.297,217.9980849,7.866,2011,45,14.28234660697055
93,1,0,62.25,3.308,218.2205088,7.866,2011,46,14.246958308005654
94,1,1,60.14,3.236,218.4676211,7.866,2011,47,14.525181299475344
95,1,0,48.91,3.172,218.7147333,7.866,2011,48,14.275517479968974
96,1,0,43.93,3.158,218.9618456,7.866,2011,49,14.403121307394173
97,1,0,51.63,3.159,219.1794533,7.866,2011,50,14.447408558899655
98,1,0,47.96,3.112,219.3577216,7.866,2011,51,14.635374081990511
99,1,1,44.55,3.129,219.5359898,7.866,2011,52,14.219283381633186
100,1,0,49.01,3.157,219.7142581,7.348,2012,1,14.254004763492786
101,1,0,48.53,3.261,219.8925263,7.348,2012,2,14.193674470252011
102,1,0,54.11,3.268,219.9856893,7.348,2012,3,14.14797107266475
103,1,0,54.26,3.29,220.0788523,7.348,2012,4,14.09263200529622
104,1,0,56.55,3.36,220.1720153,7.348,2012,5,14.307972995741183
105,1,1,48.02,3.409,220.2651783,7.348,2012,6,14.40467318135674
106,1,0,45.32,3.51,220.4257586,7.348,2012,7,14.414276177420055
107,1,0,57.25,3.555,220.636902,7.348,2012,8,14.246896031982233
108,1,0,60.96,3.63,220.8480454,7.348,2012,9,14.339304780748678
109,1,0,58.76,3.669,221.0591887,7.348,2012,10,14.331581695933636
110,1,0,64.74,3.734,221.2118132,7.348,2012,11,14.332799517303433
111,1,0,65.93,3.787,221.2864126,7.348,2012,12,14.228327951659512
112,1,0,67.61,3.845,221.3610119,7.348,2012,13,14.316046805187602
113,1,0,70.43,3.891,221.4356112,7.143,2012,14,14.457194892921569
114,1,0,69.07,3.891,221.5102105,7.143,2012,15,14.298573973247228
115,1,0,66.76,3.877,221.5640737,7.143,2012,16,14.23525908397863
116,1,0,67.23,3.814,221.6179368,7.143,2012,17,14.200044373673366
117,1,0,75.55,3.749,221.6718,7.143,2012,18,14.336991802421933
118,1,0,73.77,3.688,221.7256632,7.143,2012,19,14.29242590243029
119,1,0,70.33,3.63,221.742674,7.143,2012,20,14.282950196743954
120,1,0,77.22,3.561,221.744944,7.143,2012,21,14.257272589885545
121,1,0,77.95,3.501,221.7472139,7.143,2012,22,14.300697448408794
122,1,0,78.3,3.452,221.7494839,7.143,2012,23,14.344509223148796
123,1,0,79.35,3.393,221.7626421,7.143,2012,24,14.30446350936842
124,1,0,78.39,3.346,221.8030211,7.143,2012,25,14.239369988447109
125,1,0,84.88,3.286,221.8434,7.143,2012,26,14.24756728092018
126,1,0,81.57,3.227,221.8837789,6.908,2012,27,14.386408270693238
127,1,0,77.12,3.256,221.9241579,6.908,2012,28,14.23882543353013
128,1,0,80.42,3.311,221.9327267,6.908,2012,29,14.219611909912922
129,1,0,82.66,3.407,221.9412954,6.908,2012,30,14.17954564646461
130,1,0,86.11,3.417,221.9498642,6.908,2012,31,14.304787746878512
131,1,0,85.05,3.494,221.9584329,6.908,2012,32,14.28075975905719
132,1,0,84.85,3.571,222.0384109,6.908,2012,33,14.284181455767857
133,1,0,77.66,3.62,222.1719457,6.908,2012,34,14.217050224933061
134,1,0,80.49,3.638,222.3054805,6.908,2012,35,14.274253776076298
135,1,1,83.96,3.73,222.4390153,6.908,2012,36,14.323392852383085
136,1,0,74.97,3.717,222.5820193,6.908,2012,37,14.232528586679843
137,1,0,69.87,3.721,222.7818386,6.908,2012,38,14.225052052973004
138,1,0,76.08,3.666,222.9816579,6.908,2012,39,14.178110098767874
139,1,0,68.55,3.617,223.1814772,6.573,2012,40,14.328805312915422
140,1,0,62.99,3.601,223.3812965,6.573,2012,41,14.268542104016484
141,1,0,67.97,3.594,223.4257233,6.573,2012,42,14.226341093058023
142,1,0,69.16,3.506,223.4442513,6.573,2012,43,14.216740537227983
143,2,0,40.19,2.572,210.7526053,8.324,2010,5,14.574909070089168
144,2,1,38.49,2.548,210.8979935,8.324,2010,6,14.575292732401277
145,2,0,39.69,2.514,210.9451605,8.324,2010,7,14.569024698913505
146,2,0,46.1,2.561,210.9759573,8.324,2010,8,14.438824301360903
147,2,0,47.17,2.625,211.0067542,8.324,2010,9,14.504154679957363
148,2,0,57.56,2.667,211.037551,8.324,2010,10,14.503888775073255
149,2,0,54.52,2.72,210.8733316,8.324,2010,11,14.481323478353218
150,2,0,51.26,2.732,210.6766095,8.324,2010,12,14.375239945161342
151,2,0,63.27,2.719,210.4798874,8.2,2010,13,14.54121627008532
152,2,0,65.41,2.77,210.2831653,8.2,2010,14,14.485742278487377
153,2,0,68.07,2.808,210.1495463,8.2,2010,15,14.444097318480202
154,2,0,65.11,2.795,210.1000648,8.2,2010,16,14.415440927593549
155,2,0,66.98,2.78,210.0505833,8.2,2010,17,14.404658124197734
156,2,0,71.28,2.835,210.0011018,8.2,2010,18,14.52972559938846
157,2,0,73.31,2.854,209.9984585,8.2,2010,19,14.447182977942207
158,2,0,74.83,2.826,210.2768443,8.2,2010,20,14.455751617915604
159,2,0,81.13,2.759,210.5552301,8.2,2010,21,14.486981951859919
160,2,0,81.81,2.705,210.833616,8.2,2010,22,14.558657137940587
161,2,0,83.4,2.668,211.1120018,8.2,2010,23,14.521346771153278
162,2,0,85.81,2.637,211.1096543,8.2,2010,24,14.509476383343092
163,2,0,86.26,2.653,210.9950134,8.2,2010,25,14.478161463342204
164,2,0,82.74,2.669,210.8803726,8.099,2010,26,14.51062661900636
165,2,0,82.59,2.642,210.7657317,8.099,2010,27,14.447262868267602
166,2,0,85.32,2.623,210.7577954,8.099,2010,28,14.428467114494932
167,2,0,87.66,2.608,210.8921319,8.099,2010,29,14.393089023823636
168,2,0,83.49,2.64,211.0264684,8.099,2010,30,14.405653976872037
169,2,0,89.53,2.627,211.1608049,8.099,2010,31,14.504605027373088
170,2,0,89.05,2.692,211.2951413,8.099,2010,32,14.455047050526769
171,2,0,88.7,2.664,211.2596586,8.099,2010,33,14.490664949781772
172,2,0,87.12,2.619,211.2241759,8.099,2010,34,14.438150233058128
173,2,0,81.83,2.577,211.1886931,8.099,2010,35,14.459787343386369
174,2,1,79.09,2.565,211.1532104,8.099,2010,36,14.424803099245695
175,2,0,82.05,2.582,211.1806415,8.099,2010,37,14.399905142929393
176,2,0,81.79,2.624,211.2552578,8.099,2010,38,14.360481471299453
177,2,0,69.24,2.603,211.3298742,8.163,2010,39,14.418427420844877
178,2,0,63.19,2.633,211.4044906,8.163,2010,40,14.430654271851335
179,2,0,65.8,2.72,211.4713286,8.163,2010,41,14.400157014234772
180,2,0,68.5,2.725,211.5187208,8.163,2010,42,14.368216033162543
181,2,0,66.24,2.716,211.5661131,8.163,2010,43,14.40482722403966
182,2,0,57.85,2.689,211.6135053,8.163,2010,44,14.47771512040098
183,2,0,59.69,2.728,211.6608975,8.163,2010,45,14.466174855074572
184,2,0,50.81,2.771,211.5470304,8.163,2010,46,14.486790468018334
185,2,1,62.98,2.735,211.4062867,8.163,2010,47,14.793357727732326
186,2,0,49.33,2.708,211.265543,8.163,2010,48,14.516517901348806
187,2,0,45.5,2.843,211.1247993,8.163,2010,49,14.68207625981806
188,2,0,47.55,2.869,211.0645458,8.163,2010,50,14.774541858717313
189,2,0,49.97,2.886,211.0646599,8.163,2010,51,15.04982108827634
190,2,1,47.3,2.943,211.064774,8.163,2010,52,14.37537520064707
191,2,0,44.69,2.976,211.0648881,8.028,2011,1,14.37971681640653
